OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
61440,48,001,950100,1400000US48001950100,48001950100,9501,Anderson,TX,Texas,"Census Tract 9501, Anderson County, Texas","4,844.00",524.00,"3,098.00",1.37,0.56,0.77,0.33,0.33,0.43,0.09,0.64,1.49,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.20,0.88,1.92,0.77,0.30,0.26,0.00,0.56,0.19,0.14,0.14,0.14,4.10,0.10,0.39,0.39,0.39,0.54,0.45,0.21,0.12,0.22,0.72,0.80,3.06,0.40,0.82,0.74,0.76,0.49,2.81,0.96,0.94,0.69,1.62,0.94,7.88,0.67,1.00,0.00,1.00,0.00,1.00,3.00,0.60,0.33,8.76,0.14,34.39,0.00,0.00,0.00,0.00,0.00,0.00,0.57,32.56,4.78,3.99,11.33,0.00,0.80,21.10,32.18,8.80,2.80,4.30,18.72,11.10,27.00,21.80,25.60,16.60,1.30,26.40,1.00,38.30,9.40,8.20,13.60,12.70,0.81,0.40,0.83,0.71,0.46,"108,641.89","491,180,025.93"
61441,48,001,950401,1400000US48001950401,48001950401,9504.01,Anderson,TX,Texas,"Census Tract 9504.01, Anderson County, Texas","4,838.00",235.00,"4,344.00",0.42,0.07,0.42,0.11,0.33,0.43,0.08,0.57,1.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.31,0.87,2.18,0.91,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.21,3.79,0.07,0.78,0.78,0.78,0.58,0.88,0.00,0.02,0.01,0.96,0.55,2.99,0.39,0.01,0.02,0.00,0.37,0.41,0.01,0.79,1.00,1.78,0.98,5.96,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8.77,0.13,32.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.55,4.83,0.00,0.00,0.00,7.88,65.30,33.96,24.80,0.00,1.20,7.37,24.60,17.90,1.70,3.00,0.10,0.70,10.00,93.40,32.00,7.50,2.50,14.30,8.30,0.51,0.03,0.01,0.20,0.54,"23,744.35","16,810,409.54"
61442,48,001,950402,1400000US48001950402,48001950402,9504.02,Anderson,TX,Texas,"Census Tract 9504.02, Anderson County, Texas","7,511.00",398.00,"5,795.00",0.54,0.11,0.34,0.07,0.33,0.44,0.09,0.58,1.44,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.34,1.00,2.34,0.96,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.36,4.14,0.11,0.77,0.77,0.77,0.51,0.93,0.16,0.02,0.00,0.38,0.00,1.99,0.19,0.01,0.01,0.00,0.42,0.45,0.01,0.92,1.00,1.92,1.00,5.13,0.24,1.00,0.00,0.00,0.00,0.00,1.00,0.20,0.33,8.80,0.14,33.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.74,1.33,0.00,0.00,0.00,28.13,64.50,30.24,30.30,2.40,1.30,0.00,5.40,0.00,2.80,0.40,0.10,0.90,23.90,97.30,35.70,7.80,3.30,14.10,11.60,0.71,0.05,0.02,0.61,0.52,"59,119.79","75,058,823.33"
61443,48,001,950500,1400000US48001950500,48001950500,9505,Anderson,TX,Texas,"Census Tract 9505, Anderson County, Texas","4,465.00",495.00,"3,532.00",2.13,0.86,1.33,0.74,0.33,0.43,0.23,0.66,1.64,0.40,0.00,0.46,0.00,0.78,0.00,0.00,1.24,0.59,0.51,0.56,0.60,1.67,0.59,0.41,0.55,0.00,0.97,0.47,0.17,0.17,0.17,5.68,0.40,0.77,0.77,0.77,0.87,0.72,0.57,0.62,0.65,0.84,0.95,5.22,0.85,0.43,0.79,0.37,0.87,2.47,0.85,0.57,0.75,1.32,0.78,9.77,0.92,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.33,8.76,0.22,34.74,0.00,9.64,0.00,10.29,0.00,0.00,77.08,66.30,7.79,20.12,62.92,0.00,3.41,63.90,54.85,16.00,5.40,14.90,31.44,15.00,39.50,14.60,26.70,10.70,9.60,1.40,1.60,39.90,10.60,6.80,17.10,15.90,0.86,0.72,0.52,0.89,0.80,"26,557.66","23,219,183.60"
61444,48,001,950600,1400000US48001950600,48001950600,9506,Anderson,TX,Texas,"Census Tract 9506, Anderson County, Texas","5,148.00",726.00,"5,496.00",2.60,0.98,1.80,0.96,0.33,0.43,0.28,0.67,1.70,0.43,0.00,0.66,0.96,0.77,0.00,0.00,2.38,0.90,0.64,0.39,0.60,1.63,0.56,0.61,0.67,0.86,2.14,0.96,0.38,0.38,0.38,8.24,0.90,0.55,0.55,0.55,0.87,0.92,0.44,0.54,0.75,0.93,0.81,5.27,0.85,0.41,0.60,0.80,0.40,2.21,0.67,0.85,0.75,1.61,0.93,9.63,0.91,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.33,8.77,0.25,35.12,0.00,49.35,24.33,9.05,0.00,0.00,37.33,52.26,7.83,61.22,88.60,0.67,30.23,34.30,55.70,28.80,4.40,12.60,35.77,20.40,27.70,14.20,23.40,17.60,0.80,15.40,1.60,38.60,10.80,6.50,17.10,14.40,0.82,0.76,0.45,0.83,0.80,"27,786.71","21,002,275.45"
61445,48,001,950700,1400000US48001950700,48001950700,9507,Anderson,TX,Texas,"Census Tract 9507, Anderson County, Texas","2,783.00",369.00,"3,820.00",2.14,0.86,1.34,0.75,0.33,0.43,0.40,0.68,1.83,0.48,0.00,0.49,0.00,0.00,0.00,0.00,0.49,0.27,0.60,0.58,0.47,1.65,0.58,0.79,0.41,0.00,1.20,0.58,0.32,0.32,0.32,5.50,0.36,0.82,0.82,0.82,0.98,0.92,0.08,0.73,0.78,0.98,0.98,5.45,0.88,0.35,0.88,0.78,0.91,2.92,0.98,0.59,0.93,1.52,0.89,10.71,0.98,1.00,1.00,0.00,1.00,1.00,4.00,0.80,0.33,8.77,0.33,35.33,0.00,13.29,0.00,0.00,0.00,0.00,47.77,68.10,9.67,100.00,34.33,0.00,21.65,74.30,73.30,29.30,1.70,18.50,37.43,27.50,46.40,13.20,29.00,17.00,13.60,1.80,7.00,42.60,11.50,6.10,18.50,18.10,0.91,0.86,0.37,0.95,0.88,"13,418.73","6,715,919.87"
61446,48,001,950800,1400000US48001950800,48001950800,9508,Anderson,TX,Texas,"Census Tract 9508, Anderson County, Texas","5,505.00",515.00,"7,918.00",1.04,0.38,1.04,0.55,0.33,0.42,0.31,0.66,1.72,0.44,0.00,0.31,0.00,0.69,0.00,0.00,1.00,0.54,0.72,0.52,0.68,1.92,0.77,0.79,0.00,0.00,0.79,0.37,0.13,0.13,0.13,5.56,0.37,0.68,0.68,0.68,0.67,0.35,0.40,0.77,0.70,0.80,0.80,4.49,0.71,0.33,0.80,0.37,0.70,2.19,0.66,0.00,0.51,0.51,0.25,7.87,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8.75,0.27,34.88,0.00,0.50,0.00,2.67,0.00,0.00,16.27,62.98,7.00,100.00,0.00,0.00,0.21,49.20,39.53,7.00,4.10,20.20,33.32,13.40,27.10,12.80,26.80,10.60,3.50,0.00,0.30,34.50,9.50,7.10,14.70,11.90,0.65,0.43,0.59,0.64,0.58,"17,132.84","10,757,621.35"
61447,48,001,950901,1400000US48001950901,48001950901,9509.01,Anderson,TX,Texas,"Census Tract 9509.01, Anderson County, Texas","6,501.00",737.00,"7,799.00",1.98,0.81,1.58,0.88,0.33,0.43,0.13,0.62,1.50,0.34,0.00,0.43,0.92,0.68,0.00,0.00,2.02,0.86,0.86,0.17,0.94,1.97,0.80,0.43,0.30,0.90,1.63,0.90,0.29,0.29,0.29,7.43,0.78,0.48,0.48,0.48,0.85,0.75,0.04,0.29,0.60,0.85,0.82,4.20,0.66,0.62,0.61,0.32,0.55,2.10,0.58,0.98,0.97,1.95,1.00,8.73,0.79,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.33,8.77,0.16,33.98,0.00,6.23,1.03,2.12,0.00,0.00,0.04,29.11,3.92,23.34,15.69,6.14,18.58,28.30,53.42,17.30,1.10,7.40,29.56,15.50,28.10,17.60,23.60,10.00,1.70,40.40,17.10,38.70,9.50,6.60,15.10,14.10,0.82,0.43,0.47,0.81,0.63,"143,321.46","294,748,599.49"
61448,48,001,950902,1400000US48001950902,48001950902,9509.02,Anderson,TX,Texas,"Census Tract 9509.02, Anderson County, Texas","4,501.00",701.00,"1,778.00",1.91,0.79,0.91,0.44,0.00,0.42,0.08,0.64,1.13,0.20,0.00,0.37,0.00,0.70,0.00,0.00,1.07,0.55,0.76,0.21,0.97,1.94,0.78,0.47,0.27,0.00,0.74,0.30,0.00,0.00,0.00,4.89,0.23,0.47,0.47,0.47,0.68,0.72,0.33,0.17,0.70,0.44,0.92,3.95,0.60,0.74,0.27,0.90,0.62,2.53,0.88,0.97,0.00,0.97,0.64,7.92,0.68,1.00,1.00,1.00,1.00,1.00,5.00,1.00,0.00,8.73,0.13,34.28,0.00,2.65,0.00,3.05,0.00,0.00,9.97,34.29,3.33,29.59,12.58,0.00,0.00,27.10,39.66,16.10,3.60,5.20,33.23,6.20,36.50,19.80,18.60,20.70,2.40,35.40,0.00,42.50,10.40,8.30,16.00,16.20,0.91,0.67,0.85,0.90,0.71,"132,863.67","446,297,260.38"
61449,48,001,951000,1400000US48001951000,48001951000,9510,Anderson,TX,Texas,"Census Tract 9510, Anderson County, Texas","7,276.00",716.00,"3,606.00",1.45,0.60,0.85,0.39,0.33,0.41,0.08,0.59,1.41,0.30,0.00,0.34,0.00,0.00,0.00,0.00,0.34,0.21,1.00,0.20,0.95,2.16,0.90,0.34,0.00,0.00,0.34,0.11,0.17,0.17,0.17,4.42,0.15,0.32,0.32,0.32,0.57,0.54,0.36,0.27,0.33,0.75,0.91,3.73,0.55,0.72,0.70,0.71,0.21,2.34,0.77,0.95,0.72,1.67,0.95,8.05,0.70,1.00,0.00,1.00,0.00,1.00,3.00,0.60,0.33,8.69,0.13,33.28,0.00,1.65,0.00,0.00,0.00,0.00,0.00,32.97,3.67,10.14,0.00,0.00,3.45,16.30,33.57,10.80,3.80,7.10,21.60,11.90,34.50,19.50,24.90,15.60,0.20,29.80,1.30,36.90,9.90,7.70,15.20,13.00,0.76,0.54,0.73,0.74,0.64,"152,807.40","623,458,611.67"
